adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0000073124-26-000016,HeldToMaturitySecuritiesFairValue,us-gaap/2025,20251231,0,USD,FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,7696100000.0,
0000073124-26-000016,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2025,20241231,4,USD,Geographical=US;,,2270600000.0,
0000073124-26-000016,IncomeTaxExpenseBenefit,us-gaap/2025,20241231,4,USD,,,628400000.0,
0000073124-26-000016,IncomeTaxExpenseBenefit,us-gaap/2025,20241231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,131100000.0,
0000073124-26-000016,IncomeTaxExpenseBenefit,us-gaap/2025,20251231,4,USD,ConsolidatedEntities=ParentCompany;,,-11100000.0,
0000073124-26-000016,IncreaseDecreaseInOtherOperatingCapitalNet,us-gaap/2025,20231231,4,USD,,,-774500000.0,
0000073124-26-000016,IncreaseDecreaseInOtherOperatingCapitalNet,us-gaap/2025,20241231,4,USD,ConsolidatedEntities=ParentCompany;,,-118900000.0,
0000073124-26-000016,InterestBearingDepositsInBanks,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,InterestBearingDepositsInBanks,us-gaap/2025,20251231,0,USD,FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,1729400000.0,
0000073124-26-000016,InterestExpenseOperating,us-gaap/2025,20251231,4,USD,ConsolidatedEntities=ParentCompany;,,263600000.0,
0000073124-26-000016,InterestIncomeExpenseNet,us-gaap/2025,20241231,4,USD,,,2177100000.0,
0000073124-26-000016,InterestIncomeExpenseNet,us-gaap/2025,20241231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,-25800000.0,
0000073124-26-000016,MarketableSecurities,us-gaap/2025,20251231,0,USD,,,57466100000.0,
0000073124-26-000016,NetIncomeLoss,us-gaap/2025,20231231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,729100000.0,
0000073124-26-000016,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2025,20241231,4,USD,,,1989300000.0,
0000073124-26-000016,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2025,20251231,4,USD,,,1695100000.0,
0000073124-26-000016,NoninterestBearingDepositLiabilitiesForeign,us-gaap/2025,20251231,0,USD,,,12537900000.0,
0000073124-26-000016,NoninterestExpense,us-gaap/2025,20231231,4,USD,BusinessSegments=AssetServicingSegment;ConsolidationItems=OperatingSegments;,,3270700000.0,
0000073124-26-000016,NoninterestExpense,us-gaap/2025,20241231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,1990800000.0,
0000073124-26-000016,NoninterestExpense,us-gaap/2025,20241231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,155400000.0,
0000073124-26-000016,NoninterestExpense,us-gaap/2025,20251231,4,USD,BusinessSegments=AssetServicingSegment;ConsolidationItems=OperatingSegments;,,3640800000.0,
0000073124-26-000016,NoninterestIncome,us-gaap/2025,20231231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,2041600000.0,
0000073124-26-000016,NoninterestIncome,us-gaap/2025,20241231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,2219300000.0,
0000073124-26-000016,NoninterestIncomeOtherOperatingIncome,us-gaap/2025,20231231,4,USD,,,228700000.0,
0000073124-26-000016,NoninterestIncomeOtherOperatingIncome,us-gaap/2025,20231231,4,USD,ProductOrService=FinancialServiceOther;,,23100000.0,
0000073124-26-000016,NoninterestIncomeOtherOperatingIncome,us-gaap/2025,20231231,4,USD,ProductOrService=LoanServicing;,,83100000.0,
0000073124-26-000016,NoninterestIncomeOtherOperatingIncome,us-gaap/2025,20241231,4,USD,,,1157400000.0,
0000073124-26-000016,NoninterestIncomeOtherOperatingIncome,us-gaap/2025,20251231,4,USD,,,207700000.0,
0000073124-26-000016,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2025,20251231,4,USD,,,15800000.0,
0000073124-26-000016,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2025,20241231,4,USD,EquityComponents=AccumulatedNetUnrealizedInvestmentGainLoss;,,325800000.0,
0000073124-26-000016,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2025,20251231,4,USD,,,223500000.0,
0000073124-26-000016,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2025,20251231,4,USD,EquityComponents=AccumulatedGainLossNetCashFlowHedgeParent;,,300000.0,
0000073124-26-000016,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2025,20251231,4,USD,,,986300000.0,
0000073124-26-000016,PaymentsForRepurchaseOfCommonStock,us-gaap/2025,20241231,4,USD,,,937800000.0,
0000073124-26-000016,PaymentsOfDividendsCommonStock,us-gaap/2025,20231231,4,USD,,,621500000.0,
0000073124-26-000016,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap/2025,20241231,4,USD,,,101500000.0,
0000073124-26-000016,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap/2025,20251231,4,USD,,,74000000.0,
0000073124-26-000016,PreferredStockSharesOutstanding,us-gaap/2025,20251231,0,shares,ClassOfStock=SeriesEPreferredStock;,,16000.0,
0000073124-26-000016,ProceedsFromIssuanceOfSeniorLongTermDebt,us-gaap/2025,20241231,4,USD,ConsolidatedEntities=ParentCompany;,,0.0,
0000073124-26-000016,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,us-gaap/2025,20241231,4,USD,,,30073900000.0,
0000073124-26-000016,ProceedsFromPaymentsForInInterestBearingDepositsInBanks,us-gaap/2025,20231231,4,USD,,,28500000.0,
0000073124-26-000016,ProceedsFromPaymentsForOtherFinancingActivities,us-gaap/2025,20251231,4,USD,,,-11100000.0,
